region,adm1_pcode,adm1_name,adm2_pcode,adm2_name,pop_type,strata_id,n_pop,N_hh,n_hex,selection_type,certainty_stratum,excluded_infeasible,clusters_target_stage1,achieved_clusters,m_used,ICC,DEFF,expected_households_stage1,target_sample,achieved_sample,confidence_level_pct,target_moe_pct,projected_moe_pct,realized_moe_pct,coverage_status,exclusion_reason,partners_covering
NE,NG002,Adamawa,NG002001,Demsa,non_idp,non_idp_NG002001,167331.38335990906,27888.563893318176,112,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none,FACT
NE,NG002,Adamawa,NG002002,Fufore,non_idp,non_idp_NG002002,307659.37115097046,51276.56185849508,285,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none,FACT
NE,NG002,Adamawa,NG002003,Ganye,non_idp,non_idp_NG002003,281549.2809085846,46924.88015143076,128,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,114,90,10,NA,8.771885549887495,covered,none,FACT
NE,NG002,Adamawa,NG002004,Gombi,non_idp,non_idp_NG002004,474809.9642829895,79134.99404716492,145,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none,NRC
NE,NG002,Adamawa,NG002005,Girei,non_idp,non_idp_NG002005,233549.8871574402,38924.9811929067,82,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none,FACT
NE,NG002,Adamawa,NG002006,Guyuk,non_idp,non_idp_NG002006,292051.59965133667,48675.266608556114,51,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.28,covered,none,FACT
NE,NG002,Adamawa,NG002007,Hong,non_idp,non_idp_NG002007,172829.03631591797,28804.839385986328,175,pps,FALSE,FALSE,17,17,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none,NRC
NE,NG002,Adamawa,NG002008,Jada,non_idp,non_idp_NG002008,286402.0970840454,47733.682847340904,152,pps,FALSE,FALSE,17,20,6,0.06,1.3,102,102,120,90,10,NA,8.549412645642095,covered,none,FACT
NE,NG002,Adamawa,NG002009,Lamurde,non_idp,non_idp_NG002009,125050.096118927,20841.682686487835,77,pps,FALSE,FALSE,17,14,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none,NRC
NE,NG002,Adamawa,NG002010,Madagali,non_idp,non_idp_NG002010,230544.9935913086,38424.16559855143,52,pps,FALSE,FALSE,17,15,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none,Street Child of Nigeria
NE,NG002,Adamawa,NG002011,Maiha,non_idp,non_idp_NG002011,100284.38202667236,16714.06367111206,73,pps,FALSE,FALSE,17,16,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none,NRC
NE,NG002,Adamawa,NG002012,Mayo-Belwa,non_idp,non_idp_NG002012,175781.2287979126,29296.871466318767,153,pps,FALSE,FALSE,17,19,6,0.06,1.3,102,102,120,90,10,NA,8.5426864153131,covered,none,FACT
NE,NG002,Adamawa,NG002013,Michika,non_idp,non_idp_NG002013,202117.11120986936,33686.1852016449,54,pps,FALSE,FALSE,17,13,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none,NRC
NE,NG002,Adamawa,NG002014,Mubi North,non_idp,non_idp_NG002014,171837.1838760376,28639.530646006267,47,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none,NRC
NE,NG002,Adamawa,NG002015,Mubi South,non_idp,non_idp_NG002015,190542.81622314453,31757.13603719075,33,pps,FALSE,FALSE,17,12,6,0.06,1.3,102,102,102,90,10,NA,9.27,covered,none,NRC
NE,NG002,Adamawa,NG002016,Numan,non_idp,non_idp_NG002016,141861.62845611572,23643.604742685955,60,pps,FALSE,FALSE,17,10,6,0.06,1.3,102,102,102,90,10,NA,9.26,covered,none,NRC
