cluster_id,iom_site_id,iom_site_name,iom_site_type,iom_site_ward,region,adm1_pcode,adm1_name,adm2_pcode,adm2_name,latitude,longitude,households_in_cluster,n_other_sites_in_hex,flagged_camp
idp_NG026004_1,NW_S020,Gurku Camp,IDPs In Camps,Gurku/Kabusu,NC,NG026,Nasarawa,NG026004,Karu,9.08368670323254,7.627123868983103,237,0,FALSE
idp_NG008002_15,BO_S273,Zadawa Camp,Collective Settlement/Centre,Zadawa / Hausari,NE,NG008,Borno,NG008002,Askira/Uba,10.648140007682343,12.90756996433394,186,2,FALSE
idp_NG034012_12,SO_S007,Gdss Gandi,IDPs In Camps,Gandi 'A',NW,NG034,Sokoto,NG034012,Rabah,12.967740009386612,5.746859971122064,183,2,FALSE
idp_NG036003_17,YB_S006,Huri Village Camp,Camp,Maisandari/Waziri Ibrahim Estate,NE,NG036,Yobe,NG036003,Damaturu,11.726520009634106,12.03585996520825,180,0,FALSE
idp_NG002002_7,AD_S019,Fufore Camp,Collective Settlement/Centre,Fufore,NE,NG002,Adamawa,NG002002,Fufore,9.207710004480631,12.677509964460526,172,1,FALSE
idp_NG002005_3,AD_S040,Angwan Kara,Collective Settlement/Centre,Damare,NE,NG002,Adamawa,NG002005,Girei,9.319740004675714,12.441359964667404,166,1,FALSE
idp_NG037010_3,ZF_S012,Dan Tasha Pri. Sch. Camp,IDPs In Camps,Dan Gulbi,NW,NG037,Zamfara,NG037010,Maru,11.652290007453676,6.248149970442329,160,0,FALSE
idp_NG002021_1,AD_S029,Sabon Pegi Ngurore Camp,Camp,Ngurore,NE,NG002,Adamawa,NG002021,Yola South,9.288390004565796,12.251149964832216,141,0,FALSE
idp_NG036007_2,YB_S035,Meleri,Collective Settlement/Centre,Gujba,NE,NG036,Yobe,NG036007,Gujba,11.51269000918817,12.002249965210028,116,0,FALSE
idp_NG021001_9,New Camp,Nadabo Primary School Camp,IDPs in Camps,Bakori A,NW,NG021,Katsina,NG021001,Bakori,11.554960007678387,7.421964969341086,100,1,FALSE
idp_NG002005_14,AD_S034,Nana Villa,Collective Settlement/Centre,Girei I,NE,NG002,Adamawa,NG002005,Girei,9.352040004762294,12.513119964605824,75,1,FALSE
idp_NG023008_1,KO_S010,Ogalaja,IDPs In Camps,Alloma,NC,NG023,Kogi,NG023008,Igalamela-Odolu,7.203656599623698,7.227487069415291,75,1,FALSE
idp_NG021029_10,KT_S033,Musawa Modern Market,IDPs In Camps,Musawa,NW,NG021,Katsina,NG021029,Musawa,12.12757200876433,7.683129969180123,68,1,FALSE
idp_NG023014_4,KO_S009,Igoti,IDPs In Camps,Iboko/Efakwu,NC,NG023,Kogi,NG023014,Ofu,7.275443299756064,7.162741569469723,66,0,FALSE
idp_NG002012_7,AD_S046,Mayo Farang Camp,Camp,Mayo Farang,NE,NG002,Adamawa,NG002012,Mayo-Belwa,8.957060003805472,12.06084996499414,58,0,FALSE
idp_NG034011_8,SO_S020,Phcs/Birnin Kware,IDPs In Camps,S/Birni/ G. Karma,NW,NG034,Sokoto,NG034011,Kware,13.246670009617096,5.275219971618819,56,0,FALSE
idp_NG008016_6,New Camp,Sabon Gari Camp,Collective Settlement/Centre,Auno / Chabbol,NE,NG008,Borno,NG008016,Konduga,11.897933010382948,13.077276964328863,55,0,FALSE
idp_NG026002_3,NW_S025,Bajimba Camp Tunga,IDPs In Camps,Tunga,NC,NG026,Nasarawa,NG026002,Awe,8.001350001370223,9.317929967453798,49,0,FALSE
idp_NG026006_2,New Camp,Renewed Hope Resettlment city camp,IDPs in Camps,Sabon Gari,NC,NG026,Nasarawa,NG026006,Keffi,8.822207402773621,7.836825668788896,46,1,FALSE
idp_NG036013_1,YB_S020,Government College,Collective Settlement/Centre,Garbi/Bambori,NE,NG036,Yobe,NG036013,Nguru,12.866170011179662,10.42318996681757,42,5,FALSE
idp_NG023011_4,KO_S005,Ogbogbo 1,IDPs In Camps,Irenodu,NC,NG023,Kogi,NG023011,Kogi,7.8985750009025795,6.855703969716968,35,1,FALSE
idp_NG023014_1,KO_S013,Adomu,IDPs In Camps,Ofoke,NC,NG023,Kogi,NG023014,Ofu,7.420049900006311,6.823933969773405,33,0,FALSE
idp_NG023011_1,KO_S004,Guest House,IDPs In Camps,Koton Karfe South East,NC,NG023,Kogi,NG023011,Kogi,8.05646700119299,6.822117969741579,31,0,FALSE
idp_NG021005_11,KT_S030,Kusa Pdp Headquarters,IDPs In Camps,Wakilin Kudu Ii,NW,NG021,Katsina,NG021005,Bindawa,12.630940009734068,7.959659969008653,30,0,FALSE
idp_NG023008_10,KO_S008,Ofada New Camp,IDPs In Camps,Alloma,NC,NG023,Kogi,NG023008,Igalamela-Odolu,7.161160799543858,7.24374746940359,22,0,FALSE
idp_NG023012_1,KO_S003,Felele,IDPs In Camps,Oworo,NC,NG023,Kogi,NG023012,Lokoja,7.852231000801511,6.704084969859834,21,0,FALSE
idp_NG020038_1,KN_S002,Farin Gida 137,IDPs In Camps,Unguwa Uku,NW,NG020,Kano,NG020038,Tarauni,11.951358008780067,8.567299968343066,18,0,FALSE
idp_NG020042_1,KN_S007,Baban Gida,IDPs In Camps,Bachirawa,NW,NG020,Kano,NG020042,Ungogo,12.060750008934196,8.456309968460586,9,0,FALSE
