cluster_id,iom_site_id,iom_site_name,iom_site_type,iom_site_ward,region,adm1_name,adm2_name,latitude,longitude,caseload_hh,n_other_sites_in_hex,certainty_stratum,buffer_radius_m,surrounding_pop,surrounding_pop_hh,density_pop_per_km2,density_hh_per_km2,density_flag_p90,density_flag_p95,caseload_flag_150,caseload_flag_200,density_flag_default,caseload_flag_default,combined_flag_default,combined_flag_both_p90_150,combined_flag_either_p95_200,combined_flag_both_p95_200
idp_NG020013_6,KN_H248,Mazan Gudu,IDPs dispersed in Host Communities,Mekiya,NW,Kano,Gabasawa,12.19470000934342,8.907649968069432,8,0,FALSE,750,3300.82958984375,550.1382649739584,1867.8874507648934,311.31457512748227,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG021022_15,KT_H210,Rawayau,IDPs dispersed in Host Communities,Rawayau 'A',NW,Katsina,Kurfi,12.599550009530889,7.584779969348058,92,0,FALSE,750,3298.518310546875,549.7530517578125,1866.5795342316894,311.0965890386149,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG032016_8,PL_REL007,Ung Nshar,IDPs Relocated,Yelwa,NC,Plateau,Shendam,8.813767503063385,9.653598767133085,15,0,FALSE,750,3254.758544921875,542.4597574869791,1841.8165724263151,306.96942873771917,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG008006_17,BO_INT013,Karakau K,Integrated Sites,Kautikari,NE,Borno,Chibok,10.82493000808672,12.986639964281338,73,0,FALSE,750,3253.142333984375,542.1903889973959,1840.9019841248669,306.8169973541445,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG026008_1,NW_H079,Ashige Community,IDPs dispersed in Host Communities,Ashigie,NC,Nasarawa,Lafia,8.576818002451299,8.80406096790525,122,0,FALSE,750,3242.823974609375,540.4706624348959,1835.0629871501828,305.8438311916972,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG008002_2,BO_H023,Eyn Street,Host Community,Wamdeo / Giwi,NE,Borno,Askira/Uba,10.525570007485792,13.130409964132246,101,1,FALSE,750,3233.458251953125,538.9097086588541,1829.7630722830897,304.9605120471816,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG034007_1,SO_H094,Shiyyar Runji,IDPs dispersed in Host Communities,Balle,NW,Sokoto,Gudu,13.467736009690183,4.677359972226543,85,4,FALSE,750,3222.986083984375,537.1643473307291,1823.8370374489025,303.97283957481704,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG021017_1,KT_H122,Arewaci,IDPs dispersed in Host Communities,Yari Bori,NW,Katsina,Kafur,11.647649007900046,7.598414969190206,59,0,FALSE,750,3209.095947265625,534.8493245442709,1815.9768279590846,302.66280465984744,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG007013_2,BN_H341,New City,IDPs dispersed in Host Communities,Bar,NC,Benue,Makurdi,7.685507000651446,8.490300968222028,59,0,FALSE,750,3203.265625,533.8776041666666,1812.6775404625762,302.11292341042935,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG036015_16,YB_INT072,Ajari,Integrated Sites,Jumbam,NE,Yobe,Tarmua,12.474430010918615,11.543699965753442,34,2,FALSE,750,3201.1484375,533.5247395833334,1811.4794574187456,301.9132429031243,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG037005_16,ZF_H204,Zango,IDPs dispersed in Host Communities,Bungudu,NW,Zamfara,Bungudu,12.271330008584336,6.5443999702563165,96,0,FALSE,750,3172.558837890625,528.7598063151041,1795.3010535117228,299.2168422519538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG021030_10,KT_H264,Unguwan Albasa,IDPs dispersed in Host Communities,Abukur,NW,Katsina,Rimi,12.876010010022943,7.655879969332676,100,1,FALSE,750,3137.787109375,522.9645182291666,1775.6242802739944,295.9373800456657,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG032009_4,PL_H172,Dadur,IDPs dispersed in Host Communities,Reak,NC,Plateau,Langtang North,9.221528003919405,9.82404696698246,40,0,FALSE,750,3089.63330078125,514.9388834635416,1748.3747987934742,291.3957997989123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG034004_1,SO_H146,Gidan Hashimu,IDPs dispersed in Host Communities,Tsitse,NW,Sokoto,Gada,13.561340010289763,5.742289971248339,91,1,FALSE,750,3068.833251953125,511.4722086588542,1736.6043789266337,289.43406315443895,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG027005_10,NI_H002,Rafin Yashi,IDPs dispersed in Host Communities,Bosso Central Ii,NC,Niger,Bosso,9.675152004097134,6.500838970040418,127,0,FALSE,750,3057.814453125,509.6357421875,1730.369014302878,288.39483571714635,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG021001_13,KT_H095,Unguwar Yan Mashi,IDPs dispersed in Host Communities,Kabomo,NW,Katsina,Bakori,11.597120007761529,7.450309969320268,32,2,FALSE,750,3050.726318359375,508.4543863932292,1726.3579505330977,287.72632508884965,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG020044_7,KN_H190,Hurumi A,IDPs dispersed in Host Communities,Lajawa,NW,Kano,Wudil,11.87361000876998,8.924509968006396,33,1,FALSE,750,3048.0849609375,508.01416015625,1724.8632479902928,287.47720799838214,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG027022_3,NI_H026,Gunu Community,IDPs dispersed in Host Communities,She,NC,Niger,Shiroro,9.666160004127889,6.721821969834687,121,0,FALSE,750,3033.770751953125,505.6284586588542,1716.763062687844,286.1271771146407,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
