State,LGA,Ward (GRID3),Ward (OCHA/COD),Ward spans multiple LGAs (Y/N),Other LGA(s) sharing this ward,Partners covering this LGA-ward portion,Non-IDP clusters,IDP clusters,Total target HHs (primary),Accessible status,Status source,Reporting partner(s),Reported by,Reason category,Reason notes,Date reported by partner,Last reported date,% target achieved so far (as reported)
Adamawa,Demsa,Demsa,Demsa,Yes,Yola South,FACT,2,4,46,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Dong,Dong,No,,FACT,2,2,36,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Kpasham,Kpasham,No,,FACT,3,1,30,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Borrong,Borrong,No,,FACT,1,1,28,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Nassarawo Demsa,Nassarawo Demsa,Yes,Numan,FACT,2,1,23,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Bille,Bille,No,,FACT,3,1,21,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Gwamba,Gwamba,No,,FACT,1,1,18,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Dwam,Dwam,No,,FACT,3,0,15,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Dilli,Dilli,No,,FACT,1,1,8,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This is was not in our previous list but it belongs to Demsa LGA ,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Mbula,Mbula,No,,FACT,0,1,6,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Demsa,Gengle,Bille,Yes,Mayo-Belwa,FACT,1,0,3,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Pariya,Pariya,Yes,Girei,FACT,3,2,49,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Mayo Inne,Mayo Inne,Yes,Jada; Mayo-Belwa,FACT,3,2,41,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Fufore,Fufore,No,,FACT,4,1,33,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Beti,Beti,No,,FACT,4,1,30,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Yadim,Yadim,No,,FACT,3,0,13,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Farang,Farang,Yes,Song,FACT,2,0,12,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Ribadu,Ribadu,Yes,Mayo-Belwa,FACT,1,1,8,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Bole Yolde Pate,Uki Tuki,Yes,Yola North; Yola South,FACT,0,1,6,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Wuro Bokki,Wuro Bokki,No,,FACT,1,0,5,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Fufore,Gurin,Gurin,No,,FACT,1,0,1,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This is was not in our previous list but it belongs to Fufore LGA ,2026-04-09 00:00:00,2026-04-09,
Adamawa,Ganye,Ganye 1,Ganye 1,No,,FACT,2,2,73,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Ganye,Ganye 2,Ganye 2,No,,FACT,3,0,19,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Ganye,Gamu,Gamu,Yes,Toungo,FACT,2,1,18,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Ganye,Gurumpawo,Gurumpawo,No,,FACT,3,0,18,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Ganye,Yebbi,Yebbi,No,,FACT,2,1,18,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Ganye,Sangassumi,Sangassumi,No,,FACT,3,0,13,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Ganye,Bakari Goso,Bakari Goso,No,,FACT,2,0,12,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Ganye,Nyibago,Bakari Goso,Yes,Jada,FACT,2,0,12,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,Nyibago is inaccessible and jaggu is not in our previous list,2026-04-09 00:00:00,2026-04-09,
Adamawa,Ganye,Timdore,Timdore,Yes,Jada,FACT,2,0,9,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Ganye,Sugu,Sugu,No,,FACT,1,0,0,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This was not in our previous list but Sugu belong to Ganye LGA.,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Modire,Modire,No,,FACT,4,2,62,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Girei 1,Girei 1,No,,FACT,3,2,37,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Damare,Damare,No,,FACT,3,2,31,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Wuro Dole,Wuro Dole,No,,FACT,2,2,23,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Gereng,Gereng,No,,FACT,0,2,12,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Jera Bonyo,Girei 2,No,,FACT,2,0,9,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Girei 2,Girei 2,No,,FACT,2,1,8,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Dakri,Dakri,No,,FACT,2,0,7,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Pariya,Wuro Dole,Yes,Fufore,FACT,2,0,6,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Gwadabawa,Modire,Yes,Yola North,FACT,1,0,4,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Jera Bakari,Wuro Dole,No,,FACT,2,0,2,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This is was not in our previous list but Jera Bakari belongs to the Girei LGA ,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Song Waje,Wuro Dole,Yes,Song,FACT,1,0,2,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Limawa,Modire,Yes,Yola North,FACT,1,0,1,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This was not in our previous list and it belongs to Yola North LGA ,2026-04-09 00:00:00,2026-04-09,
Adamawa,Girei,Tambo,Tambo,No,,FACT,1,0,0,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This was not in our previous list but Tambo belongs to Girei LGA ,2026-04-09 00:00:00,2026-04-09,
Adamawa,Gombi,Gombi North,Gombi North,No,,NRC,2,1,34,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Gombi,Garkida,Guyaku,No,,NRC,2,1,30,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Gombi,Gabon,Gabon,No,,NRC,5,1,27,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Gombi,Tawa,Tawa,No,,NRC,1,2,24,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Gombi,Gombi South,Gombi South,No,,NRC,3,0,20,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Gombi,Gaanda,Gaanda,No,,NRC,2,2,18,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Gombi,Boga,Boga,No,,NRC,3,1,15,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Gombi,Guyaku,Guyaku,No,,NRC,1,1,12,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Gombi,Duwa,Duwa,No,,NRC,2,0,10,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Gombi,Yang,Yang,No,,NRC,1,1,8,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Guyuk,Dumna,Dumna,Yes,Lamurde,FACT,1,2,49,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Guyuk,Chikila,Chikila,No,,FACT,5,2,44,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Guyuk,Guyuk,Guyuk,No,,FACT,2,1,26,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Guyuk,Banjiram,Banjiram,No,,FACT,2,2,23,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Guyuk,Purakayo,Purakayo,No,,FACT,2,1,15,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Guyuk,Kola,Kola,No,,FACT,3,0,14,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Guyuk,Bodeno,Bodeno,No,,FACT,4,0,13,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Guyuk,Bobini,Bobini,No,,FACT,2,0,10,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Guyuk,Dukul,Dukul,No,,FACT,1,0,2,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Guyuk,Gora,Bobini,No,,FACT,1,0,1,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This is was not in our previous list and not sure what LGA its under ,2026-04-09 00:00:00,2026-04-09,
Adamawa,Guyuk,Kombo,Bobini,No,,FACT,1,0,1,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This is was not in our previous list and not sure what LGA its under ,2026-04-09 00:00:00,2026-04-09,
Adamawa,Hong,Hong,Hong,No,,NRC,2,1,36,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Hong,Bangshika,Bangshika,No,,NRC,3,3,33,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Hong,Garaha,Garaha,No,,NRC,2,3,27,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Hong,Daksiri,Daksiri,No,,NRC,3,1,22,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Hong,Mayo Lope,Mayo Lope,No,,NRC,3,0,18,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Hong,Hoserezum,Hoserezum,No,,NRC,3,0,14,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Hong,Hildi,Hildi,No,,NRC,0,2,12,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Hong,Uba,Uba,No,,NRC,1,1,12,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Hong,Thilbang,Thilbang,No,,NRC,2,1,10,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Hong,Shangui,Shangui,No,,NRC,2,0,7,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Hong,Gaya-Sikalmi,Gaya-sikalmi,No,,NRC,1,0,6,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Hong,Kwarhi,Kwarhi,No,,NRC,1,0,1,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Jada,Jada 1,Jada 1,No,,FACT,2,1,39,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Jada 2,Jada 2,No,,FACT,4,1,39,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Yeli,Yeli,No,,FACT,7,1,29,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Mbullo,Mbullo,No,,FACT,3,0,17,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Mapeo,Mapeo,No,,FACT,3,0,13,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Nyibago,Nyibago,Yes,Ganye,FACT,3,0,12,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Danaba,Danaba,No,,FACT,3,0,8,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This was not in our previous list but Danaba belongs to Jada LGA ,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Leko,Leko,No,,FACT,3,0,7,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Koma 1,Koma 1,No,,FACT,2,0,6,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Mayo Kalaye,Mayo Kalaye,No,,FACT,2,0,6,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Timdore,Danaba,Yes,Ganye,FACT,2,0,5,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Koma 2,Koma 2,No,,FACT,1,0,4,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Jada,Mayo Inne,Mayo Kalaye,Yes,Fufore; Mayo-Belwa,FACT,1,0,1,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This is was not in our previous list but Mayo Kalaye belongs to Jada LGA ,2026-04-09 00:00:00,2026-04-09,
Adamawa,Lamurde,Lafiya,Lafiya,No,,NRC,3,1,38,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Lamurde,Lamurde,Lamurde,Yes,Mubi North; Mubi South,NRC,3,1,24,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Lamurde,Gyawana,Gyawana,No,,NRC,2,2,22,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Lamurde,Dubange,Dubange,No,,NRC,1,1,20,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Lamurde,Opalo,Opalo,No,,NRC,1,1,18,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Lamurde,Suwa,Suwa,No,,NRC,3,0,18,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Lamurde,Rigange,Rigange,No,,NRC,1,1,16,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Lamurde,Waduku,Waduku,No,,NRC,1,1,16,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Lamurde,Ngbebogun,Ngbebogun,No,,NRC,3,0,14,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Lamurde,Dumna,Lafiya,Yes,Guyuk,NRC,2,0,6,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Lamurde,Ngbakawo,Ngbakawo,No,,NRC,0,1,6,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Madagali,Gulak,Gulak,No,,Street Child of Nigeria,5,2,66,Accessible,default_unreported,,Not yet reported,,,,,
Adamawa,Madagali,Madagali,Madagali,No,,Street Child of Nigeria,2,3,31,Accessible,default_unreported,,Not yet reported,,,,,
Adamawa,Madagali,Sukur,Sukur,No,,Street Child of Nigeria,2,2,25,Accessible,default_unreported,,Not yet reported,,,,,
Adamawa,Madagali,Pallam,Pallam,No,,Street Child of Nigeria,1,2,24,Accessible,default_unreported,,Not yet reported,,,,,
Adamawa,Madagali,Waga-Chakawa,Waga-chakawa,No,,Street Child of Nigeria,2,1,18,Accessible,default_unreported,,Not yet reported,,,,,
Adamawa,Madagali,Hyambula,Hyambula,No,,Street Child of Nigeria,3,1,14,Accessible,default_unreported,,Not yet reported,,,,,
Adamawa,Madagali,Duhu,Duhu,No,,Street Child of Nigeria,3,0,13,Accessible,default_unreported,,Not yet reported,,,,,
Adamawa,Madagali,Bita Izge,Gulak,No,,Street Child of Nigeria,2,0,6,Accessible,default_unreported,,Not yet reported,,,,,
Adamawa,Madagali,Bebel,Bebel,No,,Street Child of Nigeria,1,0,5,Accessible,default_unreported,,Not yet reported,,,,,
Adamawa,Madagali,Kirchinga,Kirchinga,No,,Street Child of Nigeria,1,0,2,Accessible,default_unreported,,Not yet reported,,,,,
Adamawa,Maiha,Konkol,Konkol,No,,NRC,3,1,37,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Maiha,Mayo Nguli,Mayo Nguli,No,,NRC,3,2,35,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Maiha,Manjekin,Manjekin,No,,NRC,3,2,31,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Maiha,Sorau A,Sorau A,No,,NRC,3,1,24,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Maiha,Pakka,Pakka,Yes,Mubi South,NRC,2,1,18,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Maiha,Humbutudi,Humbutudi,No,,NRC,1,1,12,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Maiha,Sorau B,Sorau B,No,,NRC,1,1,12,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Maiha,Tambajam,Tambajam,No,,NRC,4,0,12,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Maiha,Zumo,Sorau A,Yes,Song,NRC,1,1,12,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Maiha,Belel,Bebel,No,,NRC,1,0,5,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Maiha,Nduku,Mayo Nguli,Yes,Mubi South,NRC,1,0,0,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Mayo-Belwa,Tola,Tola,No,,FACT,5,1,41,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Mayo-Belwa,Mayo Farang,Mayo Farang,No,,FACT,4,1,31,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Mayo-Belwa,Mbilla,Mbilla,No,,FACT,1,1,30,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Mayo-Belwa,Jereng,Jereng,No,,FACT,1,1,29,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Mayo-Belwa,Ribadu,Ribadu,Yes,Fufore,FACT,0,1,18,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Mayo-Belwa,Gengle,Gengle,Yes,Demsa,FACT,2,0,12,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Mayo-Belwa,Ndikong,Ndikong,No,,FACT,2,0,11,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Mayo-Belwa,Bajama,Bajama,No,,FACT,3,0,9,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Mayo-Belwa,Gorobi,Gorobi,No,,FACT,2,0,9,Inaccessible,confirmed_by_partner_report,FACT,Partner,Physical access (terrain,Bad terrain especially now that its rainy season,2026-04-09 00:00:00,2026-04-09,
Adamawa,Mayo-Belwa,Gang Fada,Gang Fada,No,,FACT,2,0,7,Accessible,confirmed_by_partner_report,FACT,Partner,N/A - fully accessible,,2026-04-09 00:00:00,2026-04-09,
Adamawa,Mayo-Belwa,Binyeri,Binyeri,No,,FACT,1,0,6,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This was not in our previous list  but Binyeri belongs to Mayo Belwa LGA,2026-04-09 00:00:00,2026-04-09,
Adamawa,Mayo-Belwa,Mayo Inne,Ndikong,Yes,Fufore; Jada,FACT,1,0,1,Inaccessible,confirmed_by_partner_report,FACT,Partner,Other,This was not in our previous list but Ndikong belongs to Mayo Belwa LGA,2026-04-09 00:00:00,2026-04-09,
Adamawa,Michika,Michika 2,Michika 2,No,,NRC,3,2,58,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Michika,Jigalambu,Jigalambu,No,,NRC,1,1,17,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Michika,Ninkisi / Wuro Ngiki,Ninkisi/Wuro Ngiki,No,,NRC,4,1,17,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Michika,Tsukumu / Tilijo,Tsukumu/Tilijo,No,,NRC,2,1,17,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Michika,Bazza Margi,Bazza Margi,No,,NRC,1,1,13,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Michika,Michika 1,Michika 1,No,,NRC,3,0,13,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Michika,Garta,Garta,No,,NRC,3,0,11,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Michika,Moda / Dlaka,Moda/Dlaka,No,,NRC,3,0,10,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Michika,Futuless,Futuless,No,,NRC,1,1,8,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Michika,Madzi,Madzi,No,,NRC,4,0,8,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Michika,Tumbara / Ngabili,Tumbara/Ngabili,No,,NRC,2,1,7,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
Adamawa,Michika,Vih / Boka,Vih/Boka,No,,NRC,1,0,6,Accessible,confirmed_by_partner_report,NRC,Partner,N/A - fully accessible,,2026-08-25,2026-08-25,
