State,LGA,Partners covering,Total wards (LGA-scoped portions),Wards reported inaccessible,% of wards inaccessible (by count),"% of target HHs inaccessible (by ward, weighted)",Reported by (across all wards),Most recent report date (across all wards),Non-IDP: population (n_pop),Non-IDP: N_hh,Non-IDP: realized MoE %,IDP: population (n_pop),IDP: N_hh,IDP: realized MoE %
Sokoto,Gada,FACT,11,7,63.6,34.5,Partner,2026-05-09,260010.1434020996,43335.02390034994,9.27,1014,183,9.25
Kebbi,Fakai,FACT,16,10,62.5,72.5,Partner,2026-04-09,208391.96883010864,34731.994805018105,9.27,,,
Sokoto,Dange-Shuni,FACT,12,7,58.3,21.7,Partner,2026-05-09,388864.90714645386,64810.81785774231,9.28,4615,896,9.05
Kebbi,Wasagu/Danko,FACT,15,8,53.3,47.1,Partner,2026-04-09,520977.7491378784,86829.62485631306,9.28,,,
Borno,Chibok,IMC,14,7,50.0,31.8,Needs review; Not yet reported,2026-08-22,161582.26644706726,26930.377741177876,7.55951764883585,18091,3653,8.645525747192853
Borno,Damboa,IMC,12,6,50.0,31.2,Needs review; Not yet reported,2026-08-23,219812.11930274963,36635.35321712494,7.590148153164182,114070,25722,8.763153467545594
Katsina,Danja,FACT,16,8,50.0,17.5,Partner,2026-04-09,157020.44081115723,26170.073468526203,7.485428150295044,1728,223,8.58
Katsina,Faskari,FACT,10,5,50.0,23.7,Partner,2026-04-09,330287.731716156,55047.955286026,9.28,7533,941,9.07
Kebbi,Jega,FACT,12,6,50.0,33.3,Partner,2026-08-24,257889.7555541992,42981.62592569987,9.27,,,
Yobe,Potiskum,FACT,12,6,50.0,11.6,Partner,2026-04-09,504638.78034973145,84106.4633916219,9.28,8340,1270,9.21
Zamfara,Maru,INTERSOS,17,8,47.1,55.0,Not yet reported; Partner,,529380.8751220703,88230.14585367839,6.4786313129838415,9619,1850,8.280049064177671
Katsina,Funtua,FACT,15,7,46.7,12.7,Partner,2026-04-09,307008.9299354553,51168.154989242554,8.550129732866708,9787,1317,6.037727262647554
Sokoto,Kware,FACT,15,7,46.7,14.1,Partner,2026-05-09,278132.03718948364,46355.339531580605,9.012706695482883,4252,635,9.16
Kebbi,Bunza,FACT,11,5,45.5,34.3,Partner,2026-08-24,201459.23193740845,33576.53865623474,9.27,,,
Adamawa,Mayo-Belwa,FACT,12,5,41.7,19.1,Partner,2026-04-09,175781.2287979126,29296.871466318767,8.5426864153131,1748,321,8.8
Yobe,Geidam,FACT,12,5,41.7,22.1,Partner,2026-04-09,304823.92838668823,50803.98806444803,8.550058295954193,14432,2221,9.07
Zamfara,Shinkafi,FACT,12,5,41.7,20.5,Partner,2026-04-09,165035.30066299438,27505.883443832397,8.726058749041588,14139,2720,8.598033116107073
Kebbi,Yauri,FACT,10,4,40.0,28.4,Partner,2026-08-24,91301.93688201904,15216.989480336508,9.25,,,
Yobe,Fika,FACT,10,4,40.0,4.2,Partner,2026-04-09,226170.173286438,37695.028881073,9.27,2932,472,8.9
Zamfara,Gusau,INTERSOS,13,5,38.5,25.8,Partner,,982546.9675827026,163757.82793045044,8.77943601393365,70399,13101,8.313840725736815
Adamawa,Demsa,FACT,11,4,36.4,24.4,Partner,2026-04-09,167331.38335990906,27888.563893318176,9.27,20573,3420,8.003838661775033
Benue,Guma,COOPI,14,5,35.7,17.5,Partner,,212733.10863685608,35455.51810614268,8.146633034342866,111309,22077,9.26
Borno,Hawul,FACT,15,5,33.3,44.1,Partner,2026-04-09,216236.26539611816,36039.37756601969,9.27,23289,4172,9.17
Katsina,Ingawa,FACT,15,5,33.3,10.9,Partner,2026-04-09,282978.1454925537,47163.02424875895,9.27,292,45,7.07
Katsina,Kankia,IMC,15,5,33.3,26.3,Needs review; Not yet reported,2026-08-23,213225.1417961121,35537.52363268534,8.545745207695068,6382,800,8.397242924573767
Kebbi,Maiyama,FACT,12,4,33.3,21.3,Partner,2026-08-24,190313.15432739255,31718.85905456543,9.00789419236454,,,
Yobe,Yunusari,FACT,9,3,33.3,8.3,Partner,2026-04-09,117792.81175231934,19632.135292053223,9.26,1649,244,8.78
Katsina,Kusada,FACT,13,4,30.8,33.3,Partner,2026-04-09,155970.52949523926,25995.088249206543,9.27,1383,215,8.5
Yobe,Nangere,FACT,13,4,30.8,6.8,Partner,2026-04-09,200030.41593933103,33338.402656555176,9.27,3110,486,8.93
Kebbi,Kalgo,FACT,10,3,30.0,12.7,Partner,2026-08-24,106817.31272888184,17802.88545481364,9.26,,,
Sokoto,Wurno,ZOA,14,4,28.6,20.4,Partner,2026-08-25,183841.1490058899,30640.191500981648,8.144258561284355,2128,332,8.86
Zamfara,Bungudu,Save the Children,15,4,26.7,23.7,Needs review; Not yet reported; Partner,2026-08-21,560902.1705169678,93483.6950861613,8.15600462861779,7629,1487,9.26
Yobe,Machina,FACT,4,1,25.0,3.8,Partner,2026-04-09,10672.273918151855,1778.7123196919758,9.31,403,123,8.7
Zamfara,Bakura,FACT,12,3,25.0,14.6,Partner,2026-04-09,196902.7807159424,32817.13011932373,8.145418417847129,9196,1793,7.175662024677509
Borno,Shani,FACT,13,3,23.1,6.1,Partner,2026-04-09,196936.64055633545,32822.77342605591,9.008406937730305,2703,407,8.73
Katsina,Kurfi,Malteser,13,3,23.1,11.6,Partner,2026-09-02,186299.74063110352,31049.956771850582,9.27,5117,728,8.92
Adamawa,Girei,FACT,14,3,21.4,1.5,Partner,2026-04-09,233549.8871574402,38924.9811929067,9.27,18151,3863,9.16
Yobe,Karasuwa,FACT,14,3,21.4,4.5,Partner,2026-04-09,139192.0453300476,23198.6742216746,9.26,4670,842,9.01
